	Image type	Feature Class	Feature Name	VSD.Brain_3more.XX.O.OT.42283	VSD.Brain_3more.XX.XX.OT.54529	VSD.Brain_3more.XX.O.OT.42287	VSD.Brain_3more.XX.O.OT.42289	VSD.Brain_3more.XX.O.OT.42291
0	general	info	BoundingBox	(65, 135, 40, 70, 72, 76)	(59, 117, 58, 99, 86, 82)	(56, 85, 31, 54, 89, 72)	(67, 59, 66, 65, 74, 65)	(55, 84, 26, 64, 84, 73)
1	general	info	EnabledImageTypes	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}	{'Original': {}, 'Wavelet': {}}
2	general	info	GeneralSettings	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 37, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}	{'normalize': False, 'distances': [1], 'enableCExtensions': True, 'removeOutliers': None, 'minimumROISize': None, 'binWidth': 25, 'force2Ddimension': 0, 'label': 1, 'padDistance': 5, 'force2D': False, 'interpolator': 'sitkBSpline', 'preCrop': False, 'symmetricalGLCM': True, 'resampledPixelSpacing': None, 'resegmentRange': None, 'minimumROIDimensions': 1, 'additionalInfo': True, 'normalizeScale': 1}
3	general	info	ImageHash	3015d232d8922f05fc3b1bc927fa1d72b6832f2f	648c33192320cd67ffc87b44a83462bb11325561	e3f3bd69a04cc490a1f5a6f8c97352237535937e	e679c3a7b2fea3d6ffccd340e4caab7a4b385b90	4c330dd3255afcb97fa8bbab2322d21a029abff9
4	general	info	ImageSpacing	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)	(1.0, 1.0, 1.0)
5	general	info	MaskHash	8085dd6af04e1db87025ebc4accb1c13455f8a11	be147fc842551ccbd364d60b738c1506a340d876	75297c92aa0ff87718be8c6817a20eba28846a54	63d02867035bf9ab51b0294b445429a66a89745f	b9c90e1b7eccc3e0d95e540bb69a69c009bdfd5e
6	general	info	Version	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45	1.3.0.post39+g2504f45
7	general	info	VolumeNum	2	4	2	6	2
8	general	info	VoxelNum	114015	173928	83797	122956	85658
9	original	shape	Maximum3DDiameter	83.0782763423	98.4073168011	97.4782026917	77.1362431027	83.6002392341
10	original	shape	Maximum2DDiameterSlice	71.5891053164	97.3293378175	81.2219182241	75.6439025963	81.4984662432
11	original	shape	Sphericity	0.60695784553	0.408030593801	0.547055515952	0.668738509216	0.472181479173
12	original	shape	MinorAxis	57.7113359851	68.7626035375	44.0723520359	57.4361716309	52.3930915314
13	original	shape	Elongation	0.876447539445	0.961916201848	0.534297811493	0.883249934972	0.736768626719
14	original	shape	SurfaceVolumeRatio	0.164312876211	0.212325210241	0.202011719896	0.145426834077	0.232337439843
15	original	shape	Volume	114015.0	173928.0	83797.0	122956.0	85658.0
16	original	shape	MajorAxis	65.846880033	71.4850247926	82.4864917803	65.0282206166	71.112001287
17	original	shape	SurfaceArea	18734.1325812	36929.2991667	16927.9760921	17881.1018108	19901.560422
18	original	shape	Flatness	0.705601759957	0.909790318953	0.502241307945	0.731578773361	0.565995871951
19	original	shape	LeastAxis	46.461674439	65.0363835064	41.4281235195	47.5732658725	40.2490991746
20	original	shape	Maximum2DDiameterColumn	74.9466476902	97.1287804927	56.7274184147	71.0281634283	75.0732975165
21	original	shape	Maximum2DDiameterRow	78.7908624144	90.5538513814	96.5660395791	71.0633520178	80.622577483
22	original	gldm	GrayLevelVariance	0.0	0.0	0.0	0.0	0.0
23	original	gldm	HighGrayLevelEmphasis	1.0	1.0	1.0	1.0	1.0
24	original	gldm	DependenceEntropy	1.52366247146	1.87433354053	1.78355266005	1.38275871124	2.02496327426
25	original	gldm	DependenceNonUniformity	73159.1352103	95843.9378593	48065.1266155	83491.36509	43570.5311588
26	original	gldm	GrayLevelNonUniformity	114015.0	173928.0	83797.0	122956.0	85658.0
27	original	gldm	SmallDependenceEmphasis	0.00176583540331	0.001907142438	0.00183327383376	0.00172755019781	0.00191570895097
28	original	gldm	SmallDependenceHighGrayLevelEmphasis	0.00176583540331	0.001907142438	0.00183327383376	0.00172755019781	0.00191570895097
29	original	gldm	DependenceNonUniformityNormalized	0.641662370831	0.55105525194	0.573590064269	0.679034492745	0.508656881538
30	original	gldm	LargeDependenceEmphasis	668.71091523	651.312048664	654.564733821	675.324750317	643.367391254
31	original	gldm	LargeDependenceLowGrayLevelEmphasis	668.71091523	651.312048664	654.564733821	675.324750317	643.367391254
32	original	gldm	DependenceVariance	11.7948850381	15.0096252747	13.9547822169	10.6835074377	15.3798701812
33	original	gldm	LargeDependenceHighGrayLevelEmphasis	668.71091523	651.312048664	654.564733821	675.324750317	643.367391254
34	original	gldm	SmallDependenceLowGrayLevelEmphasis	0.00176583540331	0.001907142438	0.00183327383376	0.00172755019781	0.00191570895097
35	original	gldm	LowGrayLevelEmphasis	1.0	1.0	1.0	1.0	1.0
36	original	glcm	JointAverage	1.0	1.0	1.0	1.0	1.0
37	original	glcm	SumAverage	2.0	2.0	2.0	2.0	2.0
38	original	glcm	JointEntropy	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16
39	original	glcm	ClusterShade	0.0	0.0	0.0	0.0	0.0
40	original	glcm	MaximumProbability	1.0	1.0	1.0	1.0	1.0
41	original	glcm	Idmn	1.0	1.0	1.0	1.0	1.0
42	original	glcm	JointEnergy	1.0	1.0	1.0	1.0	1.0
43	original	glcm	Contrast	0.0	0.0	0.0	0.0	0.0
44	original	glcm	DifferenceEntropy	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16
45	original	glcm	InverseVariance	0.0	0.0	0.0	0.0	0.0
46	original	glcm	DifferenceVariance	0.0	0.0	0.0	0.0	0.0
47	original	glcm	Idn	1.0	1.0	1.0	1.0	1.0
48	original	glcm	Idm	1.0	1.0	1.0	1.0	1.0
49	original	glcm	Correlation	1.0	1.0	1.0	1.0	1.0
50	original	glcm	Autocorrelation	1.0	1.0	1.0	1.0	1.0
51	original	glcm	SumEntropy	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16	-3.20342650381e-16
52	original	glcm	SumSquares	0.0	0.0	0.0	0.0	0.0
53	original	glcm	ClusterProminence	0.0	0.0	0.0	0.0	0.0
54	original	glcm	Imc2	0.0	0.0	0.0	0.0	0.0
55	original	glcm	Imc1	0.0	0.0	0.0	0.0	0.0
56	original	glcm	DifferenceAverage	0.0	0.0	0.0	0.0	0.0
57	original	glcm	Id	1.0	1.0	1.0	1.0	1.0
58	original	glcm	ClusterTendency	0.0	0.0	0.0	0.0	0.0
59	original	firstorder	InterquartileRange	2.0	0.0	0.0	1.0	1.0
60	original	firstorder	Skewness	-0.279091193543	2.0877525039	1.57913763776	0.805037470393	0.730276221071
61	original	firstorder	Uniformity	1.0	1.0	1.0	1.0	1.0
62	original	firstorder	Median	3.0	2.0	2.0	2.0	2.0
63	original	firstorder	Energy	1074685.0	962766.0	481430.0	616357.0	605725.0
64	original	firstorder	RobustMeanAbsoluteDeviation	1.03923765446	0.454105412778	0.524084018184	0.599741931494	0.746710194002
65	original	firstorder	MeanAbsoluteDeviation	1.03923765446	0.453391619171	0.523124221232	0.599741931494	0.76106422483
66	original	firstorder	TotalEnergy	1074685.0	962766.0	481430.0	616357.0	605725.0
67	original	firstorder	Maximum	4.0	4.0	4.0	4.0	4.0
68	original	firstorder	RootMeanSquared	3.07015002303	2.35274912669	2.39691337808	2.23893406028	2.65921703561
69	original	firstorder	90Percentile	4.0	4.0	4.0	4.0	4.0
70	original	firstorder	Minimum	1.0	1.0	1.0	1.0	1.0
71	original	firstorder	Entropy	-0.0	-0.0	-0.0	-0.0	-0.0
72	original	firstorder	Range	3.0	3.0	3.0	3.0	3.0
73	original	firstorder	Variance	1.27488756169	0.448890050008	0.519940167696	0.767830341734	0.764803764622
74	original	firstorder	10Percentile	1.0	2.0	2.0	1.0	2.0
75	original	firstorder	Kurtosis	1.55685189487	5.752120942	4.49033048413	3.16333383609	2.2689474462
76	original	firstorder	Mean	2.85498399333	2.25533554114	2.28588135613	2.06033865773	2.51130075416
77	original	glrlm	ShortRunLowGrayLevelEmphasis	0.140824129209	0.180555939919	0.143291198203	0.139335811027	0.148544538748
78	original	glrlm	GrayLevelVariance	0.0	0.0	0.0	0.0	0.0
79	original	glrlm	LowGrayLevelRunEmphasis	1.0	1.0	1.0	1.0	1.0
80	original	glrlm	GrayLevelNonUniformityNormalized	1.0	1.0	1.0	1.0	1.0
81	original	glrlm	RunVariance	228.436592972	229.425123921	165.044679296	243.354120263	140.704277287
82	original	glrlm	GrayLevelNonUniformity	6006.07692308	11873.6923077	5445.92307692	5766.46153846	6392.46153846
83	original	glrlm	LongRunEmphasis	634.372341203	474.514370636	436.853443235	762.028125756	342.908841375
84	original	glrlm	ShortRunHighGrayLevelEmphasis	0.140824129209	0.180555939919	0.143291198203	0.139335811027	0.148544538748
85	original	glrlm	RunLengthNonUniformity	215.78404391	612.304576543	223.031616826	209.371331398	286.133308799
86	original	glrlm	ShortRunEmphasis	0.140824129209	0.180555939919	0.143291198203	0.139335811027	0.148544538748
87	original	glrlm	LongRunHighGrayLevelEmphasis	634.372341203	474.514370636	436.853443235	762.028125756	342.908841375
88	original	glrlm	RunPercentage	0.0526779539804	0.0682678597333	0.0649894754815	0.0468985778527	0.0746277234871
89	original	glrlm	LongRunLowGrayLevelEmphasis	634.372341203	474.514370636	436.853443235	762.028125756	342.908841375
90	original	glrlm	RunEntropy	5.24836373172	5.07216202482	5.02914171584	5.27150787525	4.95227035099
91	original	glrlm	HighGrayLevelRunEmphasis	1.0	1.0	1.0	1.0	1.0
92	original	glrlm	RunLengthNonUniformityNormalized	0.0352815209862	0.0499884868453	0.039828336601	0.0352428747323	0.0433097957791
93	original	glszm	GrayLevelVariance	0.0	0.0	0.0	0.0	0.0
94	original	glszm	ZoneVariance	3249741042.25	5670226905.5	1755400506.25	2099214164.56	1834237584.0
95	original	glszm	GrayLevelNonUniformityNormalized	1.0	1.0	1.0	1.0	1.0
96	original	glszm	SizeZoneNonUniformityNormalized	0.5	0.25	0.5	0.333333333333	0.5
97	original	glszm	SizeZoneNonUniformity	1.0	1.0	1.0	2.0	1.0
98	original	glszm	GrayLevelNonUniformity	2.0	4.0	2.0	6.0	2.0
99	original	glszm	LargeAreaEmphasis	6499596098.5	7560911229.5	3510884808.5	2519163551.67	3668560825.0
100	original	glszm	SmallAreaHighGrayLevelEmphasis	0.500000000038	0.091254340286	0.500000000071	0.521919879074	0.500000000068
101	original	glszm	ZonePercentage	1.75415515502e-05	2.29980221701e-05	2.38672028832e-05	4.879794398e-05	2.33486656238e-05
102	original	glszm	LargeAreaLowGrayLevelEmphasis	6499596098.5	7560911229.5	3510884808.5	2519163551.67	3668560825.0
103	original	glszm	LargeAreaHighGrayLevelEmphasis	6499596098.5	7560911229.5	3510884808.5	2519163551.67	3668560825.0
104	original	glszm	HighGrayLevelZoneEmphasis	1.0	1.0	1.0	1.0	1.0
105	original	glszm	SmallAreaEmphasis	0.500000000038	0.091254340286	0.500000000071	0.521919879074	0.500000000068
106	original	glszm	LowGrayLevelZoneEmphasis	1.0	1.0	1.0	1.0	1.0
107	original	glszm	ZoneEntropy	1.0	2.0	1.0	1.79248125036	1.0
108	original	glszm	SmallAreaLowGrayLevelEmphasis	0.500000000038	0.091254340286	0.500000000071	0.521919879074	0.500000000068
109	original	ngtdm	Coarseness	1000000	1000000	1000000	1000000	1000000
110	original	ngtdm	Complexity	0.0	0.0	0.0	0.0	0.0
111	original	ngtdm	Strength	0	0	0	0	0
112	original	ngtdm	Contrast					
113	original	ngtdm	Busyness	0	0	0	0	0
114	wavelet-HHH	gldm	GrayLevelVariance	0.249888393465	0.227318872481	0.241605734359	0.247205351056	0.248732993074
115	wavelet-HHH	gldm	HighGrayLevelEmphasis	2.53169319826	2.95180764454	2.7748606752	2.65859331793	2.60678512223
116	wavelet-HHH	gldm	DependenceEntropy	4.29513809162	4.71831091257	4.80237615433	4.58477851669	4.6560826889
117	wavelet-HHH	gldm	DependenceNonUniformity	15465.8249792	14111.3132216	6739.52739358	13201.7103679	8849.92514418
118	wavelet-HHH	gldm	GrayLevelNonUniformity	57032.9496382	94853.7662941	43305.3285559	62165.2377111	43046.0585585
119	wavelet-HHH	gldm	SmallDependenceEmphasis	0.00707905029613	0.00675028324786	0.0068457548515	0.00667484355807	0.00755428383538
120	wavelet-HHH	gldm	SmallDependenceHighGrayLevelEmphasis	0.0176336712606	0.016957385577	0.0170533468444	0.0165058017596	0.0188565021813
121	wavelet-HHH	gldm	DependenceNonUniformityNormalized	0.13564728307	0.0811330735797	0.0804268338196	0.107369387162	0.103316971493
122	wavelet-HHH	gldm	LargeDependenceEmphasis	180.887786695	311.305252748	251.893134599	217.039558867	196.547829742
123	wavelet-HHH	gldm	LargeDependenceLowGrayLevelEmphasis	108.689418059	116.793092544	111.173938208	109.889240867	105.611069602
124	wavelet-HHH	gldm	DependenceVariance	7.17832289247	43.5849285699	29.5509668167	17.4011098603	15.3506721567
125	wavelet-HHH	gldm	LargeDependenceHighGrayLevelEmphasis	469.681261238	1089.35389357	814.769920164	645.640830866	560.294870298
126	wavelet-HHH	gldm	SmallDependenceLowGrayLevelEmphasis	0.00444039505502	0.00419850766558	0.00429385685329	0.00421710400769	0.00472872924889
127	wavelet-HHH	gldm	LowGrayLevelEmphasis	0.617076700434	0.512048088864	0.556284831199	0.585351670516	0.598303719442
128	wavelet-HHH	glcm	JointAverage	1.51009274688	1.66036091603	1.59699683791	1.55469969972	1.5377132957
129	wavelet-HHH	glcm	SumAverage	3.02018549376	3.32072183206	3.19399367583	3.10939939944	3.0754265914
130	wavelet-HHH	glcm	JointEntropy	1.98729282382	1.82128741172	1.93160927735	1.97398250019	1.9814807491
131	wavelet-HHH	glcm	ClusterShade	-0.0100207499425	-0.223921044507	-0.124890928062	-0.0621265231822	-0.0413149350516
132	wavelet-HHH	glcm	MaximumProbability	0.282138200286	0.477537891059	0.383248356449	0.319725685778	0.30581870711
133	wavelet-HHH	glcm	Idmn	0.89896900512	0.926870790011	0.914500607414	0.906010394423	0.903672849128
134	wavelet-HHH	glcm	JointEnergy	0.254376320726	0.320522819065	0.275654029264	0.259265092147	0.256476261026
135	wavelet-HHH	glcm	Contrast	0.505154974402	0.365646049947	0.42749696293	0.469948027884	0.481635754362
136	wavelet-HHH	glcm	DifferenceEntropy	0.987905527595	0.944125828315	0.980175042434	0.990516072148	0.989527440248
137	wavelet-HHH	glcm	InverseVariance	0.505154974402	0.365646049947	0.42749696293	0.469948027884	0.481635754362
138	wavelet-HHH	glcm	DifferenceVariance	0.2458338714	0.230930892976	0.243176998611	0.246724016052	0.246383101931
139	wavelet-HHH	glcm	Idn	0.831615008533	0.878117983351	0.857501012357	0.843350657372	0.839454748546
140	wavelet-HHH	glcm	Idm	0.747422512799	0.817176975026	0.786251518535	0.765025986058	0.759182122819
141	wavelet-HHH	glcm	Correlation	-0.0107275017235	0.184988563391	0.111633500101	0.0487370788697	0.0312205176405
142	wavelet-HHH	glcm	Autocorrelation	2.27770075345	2.79825972312	2.57724203228	2.42912508522	2.37232200993
143	wavelet-HHH	glcm	SumEntropy	1.48213784941	1.45564136177	1.50411231442	1.50403447231	1.49984499474
144	wavelet-HHH	glcm	SumSquares	0.249894903937	0.224273143979	0.240584486062	0.2470054459	0.248570318521
145	wavelet-HHH	glcm	ClusterProminence	0.494433120813	0.58303143243	0.547213895362	0.519884762258	0.513273495831
146	wavelet-HHH	glcm	Imc2	0.129410798783	0.216576245408	0.143362114875	0.119024363809	0.123057423213
147	wavelet-HHH	glcm	Imc1	-0.0121039830961	-0.0298697858272	-0.014100559016	-0.00877807847224	-0.0103029889003
148	wavelet-HHH	glcm	DifferenceAverage	0.505154974402	0.365646049947	0.42749696293	0.469948027884	0.481635754362
149	wavelet-HHH	glcm	Id	0.747422512799	0.817176975026	0.786251518535	0.765025986058	0.759182122819
150	wavelet-HHH	glcm	ClusterTendency	0.494424641346	0.53144652597	0.53484098132	0.518073755717	0.512645519724
151	wavelet-HHH	firstorder	InterquartileRange	0.210168865041	0.0198523311085	0.0549342226602	0.08996041393	0.15197300977
152	wavelet-HHH	firstorder	Skewness	0.0618210907121	0.111663447342	0.0372766568093	-0.093005194048	0.0405626022017
153	wavelet-HHH	firstorder	Uniformity	0.50022321307	0.545362255037	0.516788531283	0.505589297887	0.502534013851
154	wavelet-HHH	firstorder	Median	3.76325271181e-48	1.8816263559e-48	1.8816263559e-48	9.40813177952e-49	1.8816263559e-48
155	wavelet-HHH	firstorder	Energy	15501.3424783	11577.0040588	5234.16416617	9631.03818114	9258.98709619
156	wavelet-HHH	firstorder	RobustMeanAbsoluteDeviation	0.101306023388	0.0254617357991	0.0383645050663	0.0542325750632	0.0788477313232
157	wavelet-HHH	firstorder	MeanAbsoluteDeviation	0.22162795972	0.117471022355	0.125279191369	0.150798812762	0.188695370884
158	wavelet-HHH	firstorder	TotalEnergy	15501.3424783	11577.0040588	5234.16416617	9631.03818114	9258.98709619
159	wavelet-HHH	firstorder	Maximum	2.93974154514	3.02327536868	2.40827293041	2.59413089527	2.7936310968
160	wavelet-HHH	firstorder	RootMeanSquared	0.368725913235	0.257996218968	0.249924846782	0.279873442122	0.328774233878
161	wavelet-HHH	firstorder	90Percentile	0.379621022222	0.187785844019	0.213384652316	0.264783442497	0.32418744528
162	wavelet-HHH	firstorder	Minimum	-2.74601471036	-2.78769097282	-2.13275691545	-2.97090598215	-2.95941264404
163	wavelet-HHH	firstorder	Entropy	0.999677947646	0.933528777262	0.975641871768	0.991921256689	0.996341096549
164	wavelet-HHH	firstorder	Range	5.6857562555	5.8109663415	4.54102984587	5.56503687741	5.75304374085
165	wavelet-HHH	firstorder	Variance	0.13595323088	0.0665550624349	0.0624586950694	0.0783276173525	0.1080908678
166	wavelet-HHH	firstorder	10Percentile	-0.375475708695	-0.160570250446	-0.195886115521	-0.252645497013	-0.324417988602
167	wavelet-HHH	firstorder	Kurtosis	8.47413469812	14.3068737558	12.4003666028	10.2140588497	9.48688203202
168	wavelet-HHH	firstorder	Mean	0.00235970574211	0.00264321148412	0.00193234816669	0.00123541605648	0.00127634702797
169	wavelet-HHH	glrlm	ShortRunLowGrayLevelEmphasis	0.381074327891	0.393282634064	0.388476503767	0.383137434441	0.38949251023
170	wavelet-HHH	glrlm	GrayLevelVariance	0.249986339114	0.249957548798	0.249975261784	0.249989353824	0.249975266115
171	wavelet-HHH	glrlm	LowGrayLevelRunEmphasis	0.623659290307	0.622868091271	0.623557832222	0.623932694263	0.624061751353
172	wavelet-HHH	glrlm	GrayLevelNonUniformityNormalized	0.500027321772	0.500084902405	0.500049476432	0.500021292351	0.50004946777
173	wavelet-HHH	glrlm	RunVariance	1.80294273262	12.2124283	4.96983471009	3.347994067	2.36186024386
174	wavelet-HHH	glrlm	GrayLevelNonUniformity	30303.5727513	35587.1035698	19482.88677	30434.4256316	22304.6064332
175	wavelet-HHH	glrlm	LongRunEmphasis	5.46815583487	18.2632688111	9.67023489467	7.52563652369	6.14969260402
176	wavelet-HHH	glrlm	ShortRunHighGrayLevelEmphasis	1.51335089189	1.44054629154	1.45530254087	1.46564287752	1.51288706965
177	wavelet-HHH	glrlm	RunLengthNonUniformity	22266.8058401	25056.1133651	13775.3054849	21622.2582266	16533.6032223
178	wavelet-HHH	glrlm	ShortRunEmphasis	0.607529640691	0.602735365559	0.601841711186	0.599638523057	0.614171422115
179	wavelet-HHH	glrlm	LongRunHighGrayLevelEmphasis	14.1230663267	66.7468074562	31.8911662625	22.795188374	17.4569693629
180	wavelet-HHH	glrlm	RunPercentage	0.531542745725	0.409147640226	0.464956061397	0.495025112173	0.520732717048
181	wavelet-HHH	glrlm	LongRunLowGrayLevelEmphasis	3.30442821191	6.1423841499	4.11500205273	3.70824856111	3.32287341431
182	wavelet-HHH	glrlm	RunEntropy	2.87357779265	3.11919737082	3.03323107873	2.97192490897	2.89516715514
183	wavelet-HHH	glrlm	HighGrayLevelRunEmphasis	2.50536283877	2.50852763492	2.50576867111	2.50426922295	2.50375299459
184	wavelet-HHH	glrlm	RunLengthNonUniformityNormalized	0.362311835829	0.350346800976	0.351480127046	0.352258956148	0.366754011492
185	wavelet-HHH	glszm	GrayLevelVariance	0.21484375	0.244260789715	0.244897959184	0.248888888889	0.229591836735
186	wavelet-HHH	glszm	ZoneVariance	355493556.309	471854671.521	375027038.0	442182256.462	225806682.245
187	wavelet-HHH	glszm	GrayLevelNonUniformityNormalized	0.5703125	0.511478420569	0.510204081633	0.502222222222	0.540816326531
188	wavelet-HHH	glszm	SizeZoneNonUniformityNormalized	0.3984375	0.439853076217	0.387755102041	0.333333333333	0.367346938776
189	wavelet-HHH	glszm	SizeZoneNonUniformity	6.375	14.5151515152	2.71428571429	5.0	5.14285714286
190	wavelet-HHH	glszm	GrayLevelNonUniformity	9.125	16.8787878788	3.57142857143	7.53333333333	7.57142857143
191	wavelet-HHH	glszm	LargeAreaEmphasis	406272541.562	499633320.909	518331879.0	509374158.4	263241850.429
192	wavelet-HHH	glszm	SmallAreaHighGrayLevelEmphasis	1.34375000009	2.0025123686	1.57142857178	1.59814814823	1.93253968272
193	wavelet-HHH	glszm	ZonePercentage	0.000140332412402	0.000189733682903	8.35352100911e-05	0.00012199485995	0.000163440659366
194	wavelet-HHH	glszm	LargeAreaLowGrayLevelEmphasis	247452013.375	208770946.273	255040822.929	278412095.3	150558913.643
195	wavelet-HHH	glszm	LargeAreaHighGrayLevelEmphasis	1041554654.31	1663082819.45	1571496103.29	1433222410.8	713973597.571
196	wavelet-HHH	glszm	HighGrayLevelZoneEmphasis	1.9375	2.72727272727	2.71428571429	2.6	2.92857142857
197	wavelet-HHH	glszm	SmallAreaEmphasis	0.593750000039	0.685435348392	0.607142857323	0.573148148185	0.617063492143
198	wavelet-HHH	glszm	LowGrayLevelZoneEmphasis	0.765625	0.568181818182	0.571428571429	0.6	0.517857142857
199	wavelet-HHH	glszm	ZoneEntropy	2.03063906223	2.53062280532	2.23592635063	2.54925539717	2.41379956461
200	wavelet-HHH	glszm	SmallAreaLowGrayLevelEmphasis	0.406250000025	0.35616609334	0.366071428708	0.316898148174	0.288194444498
201	wavelet-HHH	ngtdm	Coarseness	3.46591458027e-05	3.0537478949e-05	5.50160283474e-05	3.44270467977e-05	4.81479892803e-05
202	wavelet-HHH	ngtdm	Complexity	4.43903079062e-06	2.16499954294e-06	5.17706739815e-06	3.84264950279e-06	5.66129753869e-06
203	wavelet-HHH	ngtdm	Strength	3.46599619277e-05	3.05550225794e-05	5.50307238775e-05	3.44300300691e-05	4.81524204381e-05
204	wavelet-HHH	ngtdm	Contrast	1.10923615343e-06	4.91862682349e-07	1.25047515162e-06	9.49841210951e-07	1.40802189835e-06
205	wavelet-HHH	ngtdm	Busyness	27132.5770329	17202.3442794	11728.8963552	22052.2503595	17114.2127072
206	wavelet-HLL	gldm	GrayLevelVariance	0.24984890078	0.230932291232	0.245093799727	0.24757810755	0.249988695558
207	wavelet-HLL	gldm	HighGrayLevelEmphasis	2.46312327325	2.91425762384	2.71013282098	2.64763817951	2.51008662355
208	wavelet-HLL	gldm	DependenceEntropy	5.03185984134	4.98527832643	5.20182875948	5.09241102623	5.22306429001
209	wavelet-HLL	gldm	DependenceNonUniformity	8094.46864886	11836.2651787	4646.69576476	7940.95147858	5128.22494104
210	wavelet-HLL	gldm	GrayLevelNonUniformity	57041.955155	93596.8169012	42720.7497285	62073.5724161	42830.9366317
211	wavelet-HLL	gldm	SmallDependenceEmphasis	0.00708588096134	0.00636922755596	0.00670496064698	0.006561986844	0.00740665263232
212	wavelet-HLL	gldm	SmallDependenceHighGrayLevelEmphasis	0.0188355075325	0.0172601704532	0.0179400814173	0.0170093841794	0.0200155875165
